Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,532201219,6827.87174724795,3267537,41.92084266042862,574365,6305358,80.89454553557466,8893,0.1140926801377281,2160,
United States of America,Americas,84292712,25465.872,741391,223.983,167186,1000850,302.369,2643,0.798,1077
India,South-East Asia,43205106,3130.795,36521,2.646,7584,524747,38.025,96,0.007,24
Brazil,Americas,31315777,14732.717,255760,120.324,49614,667647,314.099,846,0.398,299
France,Europe,28851246,44359.672,163687,251.674,40151,145390,223.542,274,0.421,42
Germany,Europe,26738530,32150.52,265495,319.232,50313,139729,168.011,34,0.041,2
The United Kingdom,Europe,22363071,32942.094,44253,65.187,0,179083,263.8,172,0.253,0
Russian Federation,Europe,18369557,12587.539,25593,17.537,3678,379883,260.311,520,0.356,70
Republic of Korea,Western Pacific,18209650,35517.729,67847,132.335,9315,24341,47.477,112,0.218,18
Italy,Europe,17589595,29492.214,131645,220.727,23534,167253,280.431,418,0.701,84
Turkey,Europe,15073722,17872.764,0,0,0,98969,117.347,0,0,0
Spain,Europe,12470974,26347.529,27398,57.884,0,106946,225.946,61,0.129,0
Viet Nam,Western Pacific,10728720,11022.064,6086,6.252,802,43081,44.259,1,0.001,0
Argentina,Americas,9276618,20525.41,46045,101.879,0,128973,285.365,84,0.186,0
Japan,Western Pacific,9008130,7122.377,114374,90.431,17201,30844,24.387,167,0.132,26
Netherlands,Europe,8099603,46529.16,10835,62.243,2440,22330,128.277,4,0.023,3
Australia,Western Pacific,7538022,29561.005,196044,768.803,33282,8919,34.977,307,1.204,58
Iran (Islamic Republic of),Eastern Mediterranean,7233117,8611.576,674,0.802,0,141342,168.278,24,0.029,0
Colombia,Americas,6109105,12006.207,5650,11.104,0,139867,274.88,13,0.026,0
Indonesia,South-East Asia,6059363,2215.298,3346,1.223,627,156638,57.267,34,0.012,3
Poland,Europe,6009726,15832.51,1431,3.77,247,116369,306.572,31,0.082,1
